Tweet_count,Username,Text,Created At,Retweets,Likes,Hashtags,Image URL,Category
1,Nutrition for Growth,"📢 J-35 avant le début du Sommet #N4G ! 

Hier, des hauts représentants et acteurs de la nutrition étaient invités par @CaroitEleonore, @GHAFrance  &amp;  @UNICEF_FR à l'@AssembleeNat  afin d'échanger sur les défis de la #malnutrition.

Découvrir les enjeux 👉https://t.co/zcC2zL5mw4 https://t.co/gfc5Rgmt7k",Wed Feb 19 17:30:02 +0000 2025,6,12,"N4G, malnutrition",https://pbs.twimg.com/media/GkKlZfWWMAAracF.jpg,healthy
2,Fabrice Mauriès,"Visite grâce au #FEF Jeunesse Autonome, cofinancé par @Franceaugabon, de la Société d'incubation et d'innovation agricole (#SIIAG) et 2 autres start-up #TchayeFish et #LaDelicieuse, des jeunes pousses spécialisées dans l'alimentation bio. Bravo à ces jeunes 🇬🇦 pleins d'initiative https://t.co/oW8lNJ7YGE",Fri Feb 21 18:50:06 +0000 2025,3,4,"FEF, SIIAG, TchayeFish, LaDelicieuse",https://pbs.twimg.com/media/GkU5XvNW4AAOdxh.jpg,mix
3,Nutrition for Growth,Félicitations à la #CôtedIvoire 🇨🇮pour  avoir fait de la nutrition une priorité nationale et merci pour son engagement dans les travaux préparatoires de #N4GParis en tant que co-présidente de la gouvernance internationale avec @SUN_Movement,Wed Feb 19 07:44:26 +0000 2025,2,8,"CôtedIvoire, N4GParis",N/A,healthy
4,Marie-Claude Varaillas,"A l’Assemblée nationale pour l’ouverture du colloque sur de la droit à l’alimentation avec @boris_tavernier et de nombreuses ONG

L’occasion d’annoncer avec mon collègue @PSavoldelli94 le dépôt de notre proposition de résolution pour une loi cadre. https://t.co/j684BxmNu3",Wed Feb 19 15:10:15 +0000 2025,2,7,,https://pbs.twimg.com/media/GkKNWp4XMAAhQCJ.jpg,mix
5,Stéphane Piednoir,"📺🍽️ Manger, c'est voter !

Depuis 1979, la famille Gaborit mise sur le bio avec passion et conviction ! Une agriculture respectueuse où chaque détail compte, du choix des vaches à l’alimentation naturelle. Un modèle inspirant pour l’avenir !

Aujourd’hui, nous retrouvons les https://t.co/TDjz1tTrXD",Fri Feb 21 14:25:16 +0000 2025,2,8,,N/A,mix
6,Le Renouveau,"La Première dame du pays, @Burundi1stLady, poursuit, ce lundi 24 février 2025 à l'école Socle du Savoir en commune Ndava dans la @MwaroProvince, la campagne de sensibilisation des jeunes adolescents sur la santé reproductive, la lutte contre le VIH/Sida, la Mpox et la nutrition. https://t.co/j8otf33bGg",Mon Feb 24 12:29:22 +0000 2025,5,6,,https://pbs.twimg.com/media/GkjYZDLawAAtEyN.jpg,healthy
7,Nani Mambo,"Bande d’hypocrites! Trump s’est allié au gars antivax-ex-héroïnomane au cerveau rongé qui veut servir de l’alimentation saine dans les écoles !  Pourtant, Trump a modifié le programme santé de Michelle Obama qui faisait ça (et Biden a ramené ce qui a été changé par Trump). https://t.co/SYMNm0WsS1",Sat Feb 15 15:12:04 +0000 2025,2,10,,https://pbs.twimg.com/media/Gj1naA3XoAAQH5E.jpg,healthy
8,Fanny,"@verity_france on y est déjà : tu refuses un vaccin expérimental ARNm, tu es exclu de la société ; tu ne peux t'acheter la voiture que le Pouvoir veut te voir posséder, tu es exclu de la société.

Bientôt les commerces d'état avec tickets de rationnement, qu'on appellerait chèque alimentation https://t.co/bq2vf5tGNu",Mon Feb 17 10:45:52 +0000 2025,19,75,,https://pbs.twimg.com/media/Gj-9qWjWAAAy-Jk.png,mix
9,Nutrition for Growth,"Du 3 au 7 fév. @byypont était en mission aux 🇺🇸 &amp; 🇨🇦 afin de mobiliser les acteurs clés pour renforcer les engagements politiques et financiers en vue de #N4GParis. Un déplacement essentiel 🎯 pour faire avancer la lutte contre la malnutrition.

🎥 Plus de détails en vidéo ⬇️ https://t.co/ZCnLMDx0GG",Fri Feb 21 15:02:01 +0000 2025,11,12,N4GParis,N/A,healthy
10,Tendre être.,"Le fait d’avoir revu mon alimentation a fait évoluer mon rapport à l’islam premier degré, même si de base je suis qlq un qui voit l’islam partout et a conscience que l’islam embrasse toute chose mais je m’aperçois que sur pleins d’aspects ça m’aide. Déjà ma consommation a",Mon Feb 17 20:43:51 +0000 2025,397,3047,,N/A,mix
11,Luc Côté,"Notre ministre de la santé vend des hotdogs pour Pfizer.
Le leur vend un programme pour améliorer l'alimentation et réduire les maladies chroniques.
Enfin, un ministre de la santé qui a l'air en santé. https://t.co/8FVCZExQCb",Sat Feb 15 02:43:29 +0000 2025,165,582,,https://pbs.twimg.com/media/Gjy7kmTWIAAQVe2.jpg,mix
12,Morvan Sophie,"Les français sont sauvés ! Si l'exploitation des #kholkozes ne parvient plus à nous nourrir, nous pourrons toujours compter sur la ""#sécu de l'alimentation"" ? Bienvenue en #absurdistan ➡️ Stop au #social étatisme ! Vite une @Nouv_Energie avec @davidlisnard.",Mon Feb 17 20:29:19 +0000 2025,18,34,"kholkozes, sécu, absurdistan, social",N/A,mix
13,Fanny,"@AnnieGenevard @LaTribune La France importe 20% de son alimentation!

Elle consacre 10% de terres cultivées pour produire des biocarburants, sacrifie des terres pour implanter des fermes solaires et des éoliennes.

Que la Suisse importe du poisson, cela se comprend, mais la France!

Revenons au bons sens https://t.co/h1miR2S5Rm",Sun Feb 16 10:32:57 +0000 2025,3,9,,https://pbs.twimg.com/media/Gj5wZpVXUAEYzym.png,mix
14,VERITY France,"C’est complément fou, il veut enlever les produits toxiques dans l’alimentation. C’est un dangereux ministre  de la santé d’après certains 🙄.  https://t.co/oX5NjbYNr4",Sat Feb 15 19:54:55 +0000 2025,2435,6486,,N/A,mix
15,Thiruvelan,Diabetes Complications https://t.co/PzVheMbc8M #Diabetes #DiabetesComplications https://t.co/0NpUdlx6In,Wed Feb 19 00:00:21 +0000 2025,5,8,"Diabetes, DiabetesComplications",https://pbs.twimg.com/media/GkG9GVpWkAAEP9r.jpg,mix
16,franzyroy,"@AlexisPhilo La droite ou la gauche, du pareil au même pour moi. Ils viennent du même endroit et ne font que de se chamailler pour mieux nous diviser/divertir... Opération réussie, plus personne n'y croit mais continue de voter.

Si seulement ils comprenaient ! 👇 https://t.co/uoggJqYyrI",Sun Feb 16 12:21:15 +0000 2025,2,6,,https://pbs.twimg.com/media/Gj6J5-XWUAAS0fo.jpg,mix
17,Laurent SEGNIS,"#SalonDeLAgriculture 

🗣️ ""À trop contraindre nos agriculteurs, on perd de la capacité à produire notre alimentation chez nous. Sur la transition écologique, […] nous devons les accompagner, on ne peut pas laisser les gens sans solutions"" @EmmanuelMacron  #SIA2025 https://t.co/DiwzvMH4zg",Sat Feb 22 10:20:41 +0000 2025,7,8,"SalonDeLAgriculture, SIA2025",N/A,mix
18,FAO en français,"Héros des déserts et des hauts plateaux, les camélidés contribuent à la sécurité alimentaire, à la nutrition et à la croissance économique dans le monde entier. 
 
Voici 5️⃣ raisons pour lesquelles nous devons reconnaître leur valeur !  
 
#AnnéeDesCamélidés https://t.co/k98QRS3uu0",Tue Feb 18 11:42:03 +0000 2025,3,7,AnnéeDesCamélidés,https://pbs.twimg.com/media/GkEUHYzWoAAhVii.jpg,healthy
19,FAO en français,"Les mangroves assurent :

🌊une protection côtière
🫧le stockage du carbone
🪵du bois
🦀poissons, crabes, palourdes
💊médicaments

... et sont essentiels pour la nutrition et la sécurité alimentaire de millions de personnes dans le monde.

Nous devons les protéger ! https://t.co/oEJwKMs8Kw",Sat Feb 22 09:40:15 +0000 2025,2,6,,https://pbs.twimg.com/media/GkYemPVXEAAh6pR.jpg,healthy
20,AGPB-Les Nouveaux Céréaliers,"Ce matin sur @VillageSemence , @benoistcdric rappelle le rôle géopolitique essentiel de l'export des céréales dans le monde : ""La souveraineté et la paix se construisent aussi avec le commerce, il ne faut pas l’oublier"" 🌾

🍽️Les céréales sont à la base de l'alimentation d'une https://t.co/3zC1q0KwRR",Mon Feb 24 10:32:43 +0000 2025,5,9,,https://pbs.twimg.com/media/Gki8tTnXsAA-Hnw.jpg,mix
21,Lauriane 🌞🦄,"Bonjour 
Mon fils étudiant en master en nutrition et innovation santé cherche un stage dans l’agroalimentaire dans son cursus universitaire 
Merci de partager mon post et de me contacter en MP si vous pouvez l’aider 
Merci par avance 🙏🌞 https://t.co/8XudL2pke4",Fri Feb 21 07:15:44 +0000 2025,3,6,,https://pbs.twimg.com/media/GkSz7UlWEAAabVJ.jpg,healthy
22,UNICEF Côte d'Ivoire,"Depuis son adhésion au @SUN_Movement, la #CIV a fait de la #nutrition une priorité.
2.365 foyers de nutrition communautaire renforcent le développement #PourChaqueEnfant &amp; la sécurité nutritionnelle.
👉 https://t.co/vYJAN254eG
@jeffbasse @CiNutrition
#PowerTheChange https://t.co/rSEQLRvOvy",Thu Feb 20 10:47:08 +0000 2025,3,6,"CIV, nutrition, PourChaqueEnfant, PowerTheChange",N/A,healthy
23,Laurent Lhardit,"Protection de la population face aux risques liés aux PFAS, impôt plancher de 2% sur le patrimoine des ultra-riches, Sécurité sociale de l’alimentation, qualité de l’eau potable… L’@Assemblee_nat examine toute la journée les propositions de loi proposées par le @Gpe_EcoloSocial! https://t.co/Upj0fLbxbY",Thu Feb 20 10:51:19 +0000 2025,3,10,,https://pbs.twimg.com/media/GkObrtqWwAAUGZ_.jpg,mix
24,ONU Gabon,"La mission conjointe @UNFPAGabon &amp; le Gouvernement gabonais au Bénin, avec le soutien de @ONUGabon &amp; @UNBenin , vise à s’inspirer des succès des cantines scolaires pour améliorer la nutrition et la réussite scolaire des enfants gabonais. #ODD2 #ODD4 https://t.co/68xWkAYRPP",Wed Feb 19 09:13:30 +0000 2025,3,8,"ODD2, ODD4",https://pbs.twimg.com/media/GkI7rmPWMAEmGQf.jpg,healthy
25,Yaourt & Nutrition,"Comment choisir le bon yaourt ?
Pour choisir un yaourt sain, il est essentiel de bien lire les étiquettes. Assurez-vous que le produit porte bien l'indication « yaourt », car cette mention garantit la présence des ferments vivants nécessaires pour obtenir les bienfaits santé",Tue Feb 18 08:10:21 +0000 2025,2,2,,N/A,mix
26,Guillaume GAROT,"Défendre le droit à l’alimentation pour tous ! 

L’inscrire dans la Constitution et dans une loi-cadre. 

Présentation à la presse de notre Proposition de résolution, transpartisane, avec @boris_tavernier @CaroitEleonore et Richard Ramos. https://t.co/yZdEjQMY3y",Wed Feb 19 11:21:33 +0000 2025,7,14,,https://pbs.twimg.com/media/GkJZASOXEAAtZKb.jpg,mix
27,Frederic Falcon,"Plutôt que de baisser les charges salariales pour augmenter les salaires nets, comme nous le proposons au @RNational_off, certains députés préfèrent créer une nouvelle taxe pour financer une “sécurité sociale de l’alimentation”.

L’État socialiste qui distribue des tickets",Tue Feb 18 13:05:38 +0000 2025,7,11,,N/A,mix
28,Muriel FIOL,"Regardez et écoutez cette vidéo mes amis ! 
C’est une véritable alerte rouge pour nos agriculteurs et un nouveau coup de force de la commission européenne.

Non , mille fois NON au traité du Mercosur , battons nous pour protéger notre alimentation et nos agriculteurs !!",Tue Feb 18 18:14:03 +0000 2025,4,3,,N/A,mix
29,UNFPA Bénin CO,"L'@AnanBenin, acteur principal de mise en œuvre du Programme National d'Alimentation Scolaire Intégré (PNASI) a reçu la délégation gabonaise. Au cœur des échanges, les succès de la mise en œuvre et les défis avec des suggestions de Stratégies pour la délégation gabonaise https://t.co/hvfY5n1LoL",Tue Feb 18 07:25:00 +0000 2025,6,11,,https://pbs.twimg.com/media/GkDYqhvWUAAYp2t.jpg,mix
30,UneBonneDroite,"""Sécu de l'alimentation"" is the new Ticket de Rationnement https://t.co/nat6sf7yqA",Mon Feb 17 14:27:47 +0000 2025,2,8,,https://pbs.twimg.com/media/Gj_wWQhWUAANYCP.png,mix
31,🌹أمين السر المكنون🌹,"Les conseils en nutrition de Mawlaya El Hadji Ahmad Déme RTA. L'avantage de la fructose, sur le sucre industriel, l'énergie vivante... https://t.co/k4auFWqiIm",Wed Feb 19 23:03:08 +0000 2025,4,12,,N/A,healthy
32,UNFPA Bénin CO,"A l'école primaire de Dohouimè à Djidja, la délégation du Gabon apprécie le travail de @unfpa_benin et #WFPBenin pour que chaque enfant grandisse en sécurité, et ait une alimentation saine https://t.co/i3atibFfjj",Wed Feb 19 08:14:32 +0000 2025,5,11,WFPBenin,https://pbs.twimg.com/media/GkItqf2X0AAiWy5.jpg,healthy
33,Ile-de-France Rassemblée,"🌾 Avec 80 % de son territoire recouvert d’espaces agricoles, forestiers et naturels, l’Île-de-France est un grand territoire rural.

Voici comment la Région agit pour soutenir ses agriculteurs, préserver ses terres et garantir une alimentation locale et de qualité ! (1/4) ⤵️ https://t.co/O8vZYOX5iW",Thu Feb 20 14:35:12 +0000 2025,6,10,,https://pbs.twimg.com/media/GkPNkxwWIAEPcDk.jpg,mix
34,Label : Sans farine d'insectes,"🚨 Adhérez GRATUITEMENT au label ""Sans Farine d'Insecte"" ! 🚨

🔎 Vérifiez les produits, exigez la transparence et soutenez une alimentation sans surprises.

💪 Rejoignez le mouvement dès maintenant !

👉 https://t.co/VsojezGps8 https://t.co/tRM3KvGJkn",Fri Feb 14 21:43:08 +0000 2025,198,313,,https://pbs.twimg.com/media/Gjx3SJpWUAAKgWg.jpg,mix
35,Planetes360,"Make America Healthy Again! La révolution RFK | Idriss Aberkane reçoit le Professeur Didier Raoult
https://t.co/NF7FNhPrp9",Thu Feb 20 06:31:49 +0000 2025,5,12,,N/A,healthy
36,Yaourt & Nutrition,"🥛 Produits laitiers et poids : que dit la science?

🔹 Une faible à modérée consommation de produits laitiers est associée à un risque plus élevé de surpoids et d’obésité.🤔
🔹 À l’inverse, une consommation élevée pourrait avoir un effet protecteur. ✅
🔹 Aucune association https://t.co/Q8CNUcMW0h",Wed Feb 19 20:04:44 +0000 2025,3,2,,https://pbs.twimg.com/media/GkLP7miWEAAp0J9.jpg,unhealthy
37,Gallica BnF,"Tentés par un verre en terrasse ? @laBnF et @GallicaBnF vous invitent à découvrir ""Petits et grands verres : choix des meilleurs cocktails"" (1929), avec les merveilleuses illustrations de Jean-Emile Laboureur. 
https://t.co/PVSxFjRVAr",Wed Feb 19 17:19:47 +0000 2025,13,39,,N/A,mix
38,Yaourt & Nutrition,"Quels sont les bienfaits du #zinc pour la santé ?

✅ Renforce le système immunitaire 🛡️
✅ Favorise la cicatrisation des plaies 🩹
✅ Contribue à la santé de la peau, des cheveux et des ongles 💅
✅ Soutient la croissance et le développement 📈

Le lait, le yaourt et le fromage https://t.co/wU64HO2pbQ",Fri Feb 21 13:46:32 +0000 2025,2,3,zinc,https://pbs.twimg.com/media/GkUNLQEWEAAjRGn.jpg,mix
39,Léo Purguette,"#ÀlaUne du 20 février 2025  
#Alimentation #SécuritéSociale #Cadenet #Agriculture #Marseille #J4 #SecoursPopulaire #Cézanne #Avignon #Piscine 
En kiosque et par abonnement sur https://t.co/v33E8KieoH https://t.co/jtkP9Ikxah",Wed Feb 19 22:14:18 +0000 2025,2,7,"ÀlaUne, Alimentation, SécuritéSociale, Cadenet, Agriculture, Marseille, J4, SecoursPopulaire, Cézanne, Avignon, Piscine",https://pbs.twimg.com/media/GkLuaw7XwAE4VQ3.jpg,mix
40,Ferrari Ugo,"Quelques résultats de « collègues » qui vont sortir les armes au Chianti dans 26 jours sur la Duc’Ronik n202 🧐
.
On commence à décharger le jambon par ici… Le taf est fait, ça va maintenant fignoler les détails…
Vendredi place au plan nutrition sans assistance 😛 https://t.co/hKbQXSO3Fj",Mon Feb 24 13:03:31 +0000 2025,0,17,,https://pbs.twimg.com/media/GkjgS4sXsAA1RyW.jpg,healthy
41,Yaourt & Nutrition,"Saviez-vous que la digestion du lactose ne dépend pas seulement de l’enzyme lactase, mais aussi de la vitesse à laquelle les aliments quittent l’estomac ? ⏳

📊 Une étude a montré que le lait se vide de l’estomac en 27 min, tandis que le yaourt prend 70 min. Résultat : la https://t.co/ZtOoaKm9Km",Thu Feb 20 15:38:07 +0000 2025,2,3,,https://pbs.twimg.com/media/GkPdGGDWUAAyZh7.jpg,mix
42,Guillaume Gomez,Première journée sur le Salon International de l’Agriculture. Des rencontres et des échanges passionnants et constructifs autour des valeurs et des enjeux environnementaux et sociaux de notre alimentation. #sia #diplomatieculinaire #ambassadedefrancedelagastronomie https://t.co/4O7fEm9ElM,Sun Feb 23 09:29:24 +0000 2025,3,32,"sia, diplomatieculinaire, ambassadedefrancedelagastronomie",https://pbs.twimg.com/media/Gkdls2xXMAEcOkz.jpg,mix
43,jyves94,"@marinetondelier 150 € par mois pour tous pour faire ses courses 🛒 !

Les députés écologistes présentent une proposition de loi à 3 000 Milliards d'euros qui vise à soutenir les expérimentations locales de la ""Sécurité sociale de l'alimentation""
#DirectAN #NFP #EELV 🌼
https://t.co/7eAFq97l9c",Mon Feb 17 09:50:19 +0000 2025,3,7,"DirectAN, NFP, EELV",N/A,mix
44,Audran Mistaire,"Suppression des agents chimiques nocifs dans l’agriculture, aide aux petites exploitations, reforestation, réglementation sur l’alimentation transformée, ca semble être un  programme empreint de plein de bon sens. Pourquoi nos médias n’en parlent pas ?",Mon Feb 17 09:23:08 +0000 2025,4,4,,N/A,mix
45,Vous avez bu Didier,"Il faudrait créer une Carte Pass, où le Pass Alimentation, le Pass Culture, le Pass Internet, le Pass Loisirs, le Pass Mobilité et le Pass Énergie se coupleraient à la carte Laifesse pour que je te fourre la rondelle encore plus facilement Nicolas.",Mon Feb 17 16:17:09 +0000 2025,4,107,,N/A,mix
46,INTERBEV Île-de-France,"Cet après-midi rencontre avec @AudreyPulvar pour échanger sur la #viande en restauration collective.

Nos élus ont rappelé l’importance d’une viande locale et de qualité dans l’alimentation des jeunes franciliens!

Ils ont également échangé sur les défis futurs en RHD Collective. https://t.co/FvLB2F8vkf",Sun Feb 23 17:33:37 +0000 2025,4,5,viande,https://pbs.twimg.com/media/GkfUiEIXAAAXScu.jpg,mix
47,Département de la Loire,"🍽️ Nos chefs ont du talent ! 2 chefs de cantines des collèges la Loire seront au @Salondelagri pour mettre en lumière nos produits locaux et les circuits courts. Une cuisine de grande qualité à découvrir les 24, 25 et 26/02 sur le stand du Département ! #SIA2025 #alimentation https://t.co/CWX39ATdEQ",Wed Feb 19 09:33:39 +0000 2025,2,4,"SIA2025, alimentation",https://pbs.twimg.com/media/GkI_xrEWgAAyzkl.jpg,mix
48,La Marseillaise,"Alors que huit millions de personnes ont recours, en France, à l’#aidealimentaire, l’idée d’une sécurité sociale de l’alimentation avance. #Montpellier est la plus grande ville de France à expérimenter ce modèle qui s’est invité à l’Assemblée nationale.
https://t.co/3sfijSLoMV",Fri Feb 21 13:26:00 +0000 2025,2,2,"aidealimentaire, Montpellier",N/A,mix
49,Grâce OMARI,"#RDC: Du miel made in #Kashobwe prêt à la consommation locale et à l'exportation. 
C'est possible que la  RDC puisse atteindre l'autosuffisance alimentation; et @moise_katumbi fait la démonstration chaque jour. https://t.co/wbCEHZLoOT",Thu Feb 20 09:33:56 +0000 2025,3,18,"RDC, Kashobwe",https://pbs.twimg.com/media/GkOJYz3W4AAYiNd.jpg,mix
50,Mimi lalo,"Dans nos villages jusqu'à présent c'est difficile de voir quelqu'un de ""gros"" , l'alimentation saine + les activités quotidiennes leur permettent de maintenir la ""taille"" comme on dit.",Sun Feb 23 18:16:50 +0000 2025,3,16,,N/A,healthy
51,Nature 🏞️🍫+🍾+🥐=🪷 Stop War pray for all 🙏,"Nous les empoisonnerons par l'air, l'eau , l'alimentation ,les médicaments .
Nous utiliserons le mensonge , la ruse et la force. https://t.co/F1EW8MLGDp",Sun Feb 16 22:50:22 +0000 2025,3,3,,https://pbs.twimg.com/media/Gj8Z5owWAAAlMkp.jpg,mix
52,Hervé Menchon,"La souveraineté alimentaire est en jeu. Il faut stopper l’hémorragie des terres agricoles en région Paca (-7 082 ha en 5 ans). Protéger le foncier contre la spéculation et soutenir une agriculture locale et durable.
🥕 Relocaliser notre alimentation ne peut pas attendre",Sun Feb 23 09:50:00 +0000 2025,11,10,,N/A,mix
53,Librairie Al Qaraouiyin مكتبة القرويين,"Mohamed OUBAHILI,

 la main et le pétrin, Alimentation céréalière et pratique culinaires en Occident musulman au Moyen Âge.

In-8°,592 Pages, Casablanca, Fondation du Roi Abdul-Aziz Al Saoud pour les études Islamiques et les Sciences Humaines, 2011, 1 vol. https://t.co/j34C9zbbYy",Sun Feb 23 10:19:10 +0000 2025,3,11,,https://pbs.twimg.com/media/Gkdws-FXQAAaLhs.jpg,mix
54,La Coopération Agricole,"#SIA2025LCA |

J-1 avant le #SIA, sur @bfmbusiness, @ChargeDom a envoyé un message fort :

""@EmmanuelMacron évoque une ""nouvelle ère"" géopolitique, la France doit mobiliser ses atouts stratégiques. Et quoi de plus stratégique que notre #alimentation ? ""
👉 https://t.co/Scu8h4uccW https://t.co/oYNHpQ7RRr",Fri Feb 21 11:06:48 +0000 2025,3,5,"SIA2025LCA, SIA, alimentation",https://pbs.twimg.com/media/GkToct3X0AIT6cZ.jpg,mix
55,Need Healthy 🦅,"Quotes &amp; Comments 
https://t.co/EC8IhVVqFj",Sun Feb 16 18:48:08 +0000 2025,1,11,,N/A,mix
56,Brice Bernard Ⓜ️,"❌️ #NonAuMERCOSUR !

🇫🇷 Protégeons nos agriculteurs, notre alimentation, notre souveraineté face aux traités de libre-échange imposés par l'Union Européenne ! 🇫🇷

En #Savoie comme partout en France, nous disons stop à cette folie !

🚜 Vive nos agriculteurs français ! https://t.co/Lb2czy0t5b",Sat Feb 22 16:48:36 +0000 2025,13,36,"NonAuMERCOSUR, Savoie",https://pbs.twimg.com/media/GkaAoiNWAAAx6oY.jpg,mix
57,Maximilien Triora,"T’es gros = change ton alimentation
T’es fauché = change ta manière de faire de l’argent
T’es dépressif = change ta manière de penser

Pas besoin de plus complexifier les choses",Wed Feb 19 03:00:48 +0000 2025,4,58,,N/A,mix
58,ANIA,"#Interview | ""L’alimentation a une valeur, il faut que les distributeurs acceptent enfin de la respecter."" 

@JeanFLoiseau sur @radioclassique.

Le #replay ici : 
https://t.co/lwXNHmf54a https://t.co/qFAsNLWvtQ",Fri Feb 21 13:37:24 +0000 2025,2,5,"Interview, replay",https://pbs.twimg.com/media/GkULK0yXEAA1Ymk.png,mix
59,Eve Szeftel,"A lire dans ⁦@MarianneleMag⁩, qui consacre cette semaine son dossier à la fabrique de l’obésité, cette Itw toute en nuances du prof Jean-Michel Oppert, spécialiste de la nutrition : 
https://t.co/Z0GodLZNs8 https://t.co/pQrVW13VaX",Sun Feb 16 14:24:46 +0000 2025,3,4,,https://pbs.twimg.com/media/Gj6mLX3XYAAmeB-.jpg,mix
60,Nathalie Dedieu,"J-3 #SIA2025
#OvinAlp monte en force à Paris
↪️5 spécialistes de la santé des sols &amp; nutrition des plantes dont @Sarah_Ovinalp et bibi😉
✅Nous irons bien sûr au @siapro_paris car les innovations, solutions agricoles, ça nous connaît😃
N'est-ce pas Sarah
⏩https://t.co/tKfzgxsFsn https://t.co/qDWe7M5zyR",Wed Feb 19 19:51:01 +0000 2025,0,10,"SIA2025, OvinAlp",https://pbs.twimg.com/media/GkLNnifWEAAW16q.jpg,healthy
61,La FNSEA,"🎙️🚜 Interview en cours au #SIA2025 pour Luc Smessaert, vice-président #FNSEA pour #France3 : 🎙️ ""On veut que le salon soit un tremplin pour qu'on se dise tous, enfin, qu'on va produire en France notre alimentation. Il faut de la confiance dans les fermes, il faut que les https://t.co/46BWtWzzDD",Sat Feb 22 10:22:40 +0000 2025,5,15,"SIA2025, FNSEA, France3",https://pbs.twimg.com/media/GkYl7BmXYAA_8hG.jpg,mix
62,Secours Catholique,"En cette veille du Salon de l'Agriculture 2025 à Paris, on se réunit aujourd'hui autour du droit à l'alimentation ! ✊🍎

🤝 Vous vous souvenez de Patrick, Ghislaine, Anne et Alexandra de @caritasfrance et du @ReseauCivam, membres du groupe citoyen de l'étude sur l'Injuste prix https://t.co/HSuY98924G",Wed Feb 19 13:36:11 +0000 2025,2,9,"SecoursCatholique, Alimentation, SIA2025",https://pbs.twimg.com/media/GkJ3BuOXsAAl7Mc.jpg,mix
63,exDechP,"@FrDesouche Apparence différente, alimentation et boissons différentes, prénoms, langue, calendrier fêtes et célébrations... se construire contre, se différencier de toutes les façons possibles et désigner comme racistes ceux qui ne font pas semblant de ne pas le voir",Thu Feb 20 09:37:42 +0000 2025,0,10,,N/A,mix
64,Le Renouveau,"Lors de la séance de sensibilisation des jeunes adolescents sur la santé reproductive, la lutte contre le VIH/Sida, la Mpox et la nutrition, ce mercredi 18/2/2025 au lycée du Saint-Esprit, @Burundi1stLady les a appelés à la prudence, à la patience et à aimer les études. https://t.co/8OtyJ61NxI",Wed Feb 19 12:39:31 +0000 2025,10,15,,https://pbs.twimg.com/media/GkJq04CXkAA_UN2.jpg,healthy
65,Gilles Parent,"On a tous en tête plein de questions liées à l'alimentation et Isabelle Huot y répond avec connaissances et talent dans ce Balado.  
Un Podcast enrichissant, pratique et éclairant sur l'alimentation. #podcast #alimentation #manger #Entrepreneurship 
https://t.co/RBPmfwKYNC",Thu Feb 20 12:22:54 +0000 2025,2,16,"podcast, alimentation, manger, Entrepreneurship",N/A,mix
66,Fdesouche.com est une revue de presse,"Laurent Nuñez (préfet de police) : « À Paris, on a des rues entières de commerces de téléphonie, d'alimentation, de restauration, de tous types, qui servent à blanchir des fonds »
https://t.co/9XzBIi10xu",Sat Feb 22 12:11:34 +0000 2025,1773,5560,,N/A,mix
67,TF1Info,"Droits de douane américains : ""Il y a beaucoup de préoccupations (...) L'alimentation c'est une arme géostratégique et il nous faut réarmer notre puissance alimentaire"", @AnnieGenevard dans #BonjourLaMatinaleTF1 https://t.co/x4bkWBatBR",Mon Feb 24 06:49:49 +0000 2025,4,8,BonjourLaMatinaleTF1,N/A,mix
68,Groupe Ecologiste et Social,"« La Sécu de l’alimentation c’est la France, la belle, la grande. C’est l’union entre une institution héritée des luttes ouvrières passées et un plaisir populaire français : se retrouver pour bien manger. »

🗣️ @boris_tavernier 

#DirectAN #JourneeEcoS2025 #SSA https://t.co/cZSEcUvK9u",Thu Feb 20 23:02:17 +0000 2025,6,13,"DirectAN, JourneeEcoS2025, SSA",https://pbs.twimg.com/media/GkRC0gPWwAE05YB.jpg,mix
69,𝓜𝒶𝓁𝓸w ★,"🌷Mercredi soir j'expose et je vends  illus, risos, sérigraphies et des bijoux en porcelaine 
C'est à 20h30 à l'alimentation générale dans le 11e , concert, expo et entrée gratos 🎀🌷 https://t.co/yzVB34IhSm",Sun Feb 16 18:01:37 +0000 2025,8,39,,https://pbs.twimg.com/media/Gj7Xyx5WAAE4S9u.jpg,mix
70,Lulu,"Après avoir lu la thèse de Lucie Rabier sur l'alimentation de l'âne, j'ai appris que l'âne avait un gros intestin de 6 kilogrammes, soit presque deux fois plus lourd que chez l'humain. Ici, Tmax accuse par ses ennemis d'avoir un intestin énorme (c'est légèrement grossophobe). https://t.co/YXre2R6nSv",Sun Feb 23 17:00:15 +0000 2025,10,726,,https://pbs.twimg.com/media/Gke-EO9WwAI_vE9.png,mix
71,Focus 2030,"#Thread📢Les 27-28 mars la 🇫🇷 accueillera le Sommet Nutrition for Growth #N4GParis pour ↗️ la lutte contre la malnutrition à l’échelle 🌍 👀Campagnes &amp; mobilisation, retrouvez les actions initiées par la société civile en amont de ce rdv international⬇️
https://t.co/Qjs4BqV3YR",Thu Feb 20 11:11:45 +0000 2025,2,7,"Thread, N4GParis",N/A,healthy
