Tweet_count,Username,Text,Created At,Retweets,Likes,Hashtags,Image URL,Category
707,Atlantico,"La sensibilité à l'alimentation transformée varie d'un individu à l’autre, suggère une étude https://t.co/GCUMvzgVBo",Mon Jan 27 15:16:11 +0000 2025,2,3,,N/A,mix
708,INRAE Occitanie-Toulouse,"Prochaine conférence #Borderline proposée par @Agrobiosciences et @QuaiDesSavoirs 

🍽️Végétalisation de l’alimentation : à l’aube de nouveaux régimes ? 🥕🥦🫘

📅20/03
📍Quai des savoirs @Toulouse 
Infos, inscription gratuite &amp; appel à contribution👉https://t.co/r8zRbtPzj9 https://t.co/7dZATZJRok",Mon Jan 27 10:27:35 +0000 2025,2,6,Borderline,https://pbs.twimg.com/media/GiSuM65W0AAc8pC.jpg,mix
709,Marie France,"Vous consommez chaque jour du pain, des fruits ou encore des légumes. Ces ingrédients sont la base de notre alimentation. Mais malheureusement, ceux-ci sont exposés à outrance au cadmium, une substance qui peut être néfaste. 👉 https://t.co/DKj5QdZqZN https://t.co/C2Ghud6slN",Mon Jan 27 13:07:51 +0000 2025,2,0,,https://pbs.twimg.com/media/GiTUxsKXsAAvvmm.jpg,mix
710,GUYOT Vincent,"Quand ils ont analysé le Calmium dans les différents 🥖, ils en ont trouvé partout, même s'il y avait un 🥖 #bio dans leur panel testé, alors ? 

Recommandations : ne mangez pas entre 6 à 10 noix de Saint-Jacques tous les jours. 
Mangez une alimentation variée 🥖🍏🍎🍓🥝🍠🍞🍗🍳",Mon Jan 27 05:07:29 +0000 2025,7,26,bio,N/A,mix
711,Lays Y. M. Farra,"Michelle Obama s'était limite pris un scandale quand elle avait dit ""faut boire de l'eau"" je suis pas sûr que ce soit l'Europe qui ait un problème d'hydratation https://t.co/CruJeCfQY2",Sun Jan 26 18:19:17 +0000 2025,2,12,,https://pbs.twimg.com/media/GiPSbGSXIAEyAhj.png,healthy
712,Flick,"Vivement que je change de service ! Que des bénéfices:Repasser de jour, en 7h30 et pas 12h, pour retrouver une vie personnelle, re-sortir avec les amis, me remettre au sport, retrouver une alimentation saine et équilibrée...
Perdre du poids, prendre du muscle, et me sentir bien !",Sun Jan 26 07:18:38 +0000 2025,0,17,,N/A,healthy
713,Zay,"4 jours que j’ai repris le sport et une semaine une bonne alimentation apres 3 mois a rien faire, mais qu’est-ce que ça fait du bien au moral de se remettre bien physiquement

Cette année j’vais tout donner pour être à mon prime physique ça me hype  🙏",Sat Jan 25 06:22:02 +0000 2025,0,16,,N/A,healthy
714,francesco sartelli🇮🇹♥️💛⚽⚽,#m6 on te bassine en te disant qu il faut avoir une alimentation saine pour ta santé et tu te rend compte que ce que tu manges t empoisonne a petit 🔥 #cadnium a gerber 🤮🤮🤮,Sun Jan 26 20:47:50 +0000 2025,3,5,"m6, cadnium",N/A,healthy
715,CoraTheMidwife,"Des professionnels de santé peuvent vous accompagner en cas de problème avec l'alimentation de votre enfant. N'écoutez pas ceux qui vous parlent de caprice ou autre, consultez un pro.",Sun Jan 26 21:27:16 +0000 2025,3,90,,N/A,mix
716,🇨🇵SAUSSIER ANNE MARIE 🇨🇵JAMAIS SANS ZEMMOUR,"CNEWS ce  MIDI
Clip de la croix rouge pour financer par 10 € mensuel une campagne pour la mal nutrition en France !
ces fonds sont ils bien dirigé ?
Le laxisme dont ils font preuve à gaza pour moi les discrédite pour un long moment !",Mon Jan 27 12:02:31 +0000 2025,3,13,,N/A,healthy
